Machine,No of Random Reads,"workload type 
(Distinct pairs | Matches)",Write configuration for RocksDB,Write performance(time in seconds),,"Ratio
(Jena BPT / RocksDB)",Read configuration for RocksDB,Read performance (time in seconds),,"Ratio
(RocksDB / Jena BPT)",Memory(in MB),,"Ratio
(Jena BPT / RocksDB)"
,100000,100000 | 100,default with memtable bloom filter = 10%,6.4311,14.3715,223.47%,Memtable bloom filter size ratio = 10%,5.2327,1.1142,469.64%,136,465,341.91%
,100000,100000 | 100,default with memtable bloom filter = 25%,6.3891,14.3715,224.94%,Memtable bloom filter size ratio = 25%,5.2411,1.1142,470.39%,136,465,341.91%
,100000,100000 | 100,default with memtable bloom filter = 25% and prefix bloom filter*,6.6079,14.3715,217.49%,Prefix Bloom filter configs and memtable with 25% configuration,5.7437,1.1142,515.50%,212,465,219.34%
,100000,100000 | 100,"default with memtable bloom filter = 25% , prefix bloom filter* and blocking unnecessary  IO",6.7924,14.3715,211.58%,Prefix Bloom filter; memtable with 25% configuration and blocking unnecssary IO,5.7303,1.1142,514.30%,212,465,219.34%
,1000000,1000000 | 10,default,6.4439,16.1738,250.99%,,25.5561,3.5095,728.20%,154,507,329.22%
,,,,,,,,,,,,,
Machine 2,1000000,1000000 | 100,default,41.8304,115.408,275.90%,default,62.4660,7.0390,887.43%,742,4600,619.95%
,1000000,1000000 | 100,custom configs**,46.7662,115.408,246.78%,custom configs**,44.4457,7.0390,631.42%,784,4600,586.73%
,1000000,1000000 | 100,custom configs** with max open files =2000,45.1696,115.408,255.50%,custom configs** with max open files =2000,41.8457,7.0390,594.48%,784,4600,586.73%
,1000000,1000000 | 100,default,44.8060,121.477,271.12%,"Compacted into Single SST***, no bloom filter, no compression (RocksDb cpp)",11,7.0390,156.27%,1400,4600,328.57%
,1000000,1000000 | 100,default,44.8060,121.477,271.12%,"Compacted into Single SST***, no bloom filter, no compression (RocksDb Java)",34.7649,7.0390,493.89%,1400,4600,328.57%
,1000000,1000000 | 100,Disable compression and checksum,42.5988,121.477,285.17%,Disable compression and checksum,43.4521,7.0390,617.31%,1400,4600,328.57%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Prefix Bloom filter configs*,Prefix Bloom filter size = 10 bits; Prefix extractor = CappedPrefixTransform; Prefix size = 16 bytes,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
custom configs**,RocksDbKVStoreConfig3 in codebase,,,,,,,,,,,,
,,,,,,,,,,,,,
Compacted into Single SST***,Using LDB tool provided by RocksDb,,,,,,,,,,,,
